Price,Distance,Bedroom2,Bathroom,Car,YearBuilt
1035000,2.5,2,1,0,1900
1465000,2.5,3,2,0,1900
1600000,2.5,3,1,2,2014
1876000,2.5,4,2,0,1910
1636000,2.5,2,1,2,1890
1097000,2.5,3,1,2,1900
1350000,2.5,3,2,2,2005
750000,2.5,2,2,1,2009
1310000,2.5,2,1,2,1890
1200000,2.5,3,2,1,1880
1176500,2.5,2,1,1,1890
890000,2.5,2,1,1,1985
1330000,2.5,4,2,2,1900
900000,2.5,3,2,2,2010
500000,2.5,2,1,1,1970
1100000,2.5,2,2,1,2013
1315000,2.5,2,1,0,1900
1447500,2.5,3,3,1,2012
1135000,2.5,2,2,2,1920
1290000,2.5,3,1,1,1950
470000,2.5,1,1,1,2013
1180000,2.5,2,1,0,1900
1195000,2.5,3,2,1,1998
1012500,2.5,2,1,0,1900
1030000,2.5,2,1,1,1930
840000,13.5,3,2,1,2016
730000,13.5,3,2,1,1965
770000,13.5,3,2,1,1965
603000,13.5,2,1,1,1950
700000,13.5,3,2,2,2009
600000,13.5,2,1,1,1980
500000,13.5,2,1,1,2011
725000,13.5,6,3,2,1980
450000,13.5,2,1,1,2015
515000,13.5,2,1,1,2013
530000,13.5,2,1,1,2012
895000,13.5,3,1,6,1975
805000,13.5,3,1,1,1950
752000,13.5,3,1,1,1993
700000,13.5,3,2,2,2009
830000,13.5,3,1,2,1960
462500,13.5,2,1,1,2003
675000,13.5,2,1,1,1975
1042000,13.5,3,2,5,1950
773000,13.5,5,3,4,1980
810000,13.5,3,3,2,1980
715000,13.5,3,2,2,1995
540000,13.5,2,2,1,2010
825000,13.5,3,2,1,1960
685000,13.5,3,1,1,1975
900000,13.5,4,2,3,1975
1275000,3.3,2,1,0,1900
2850000,3.3,3,2,0,1890
1850000,3.3,3,2,0,1890
1436000,3.3,2,1,0,1900
1110000,3.3,1,1,0,1900
2300000,3.3,4,2,1,1880
1800000,3.3,3,2,1,1996
2120000,3.3,2,1,1,1900
1800000,3.3,3,2,1,1900
2615000,3.3,3,2,1,1880
1370000,3.3,3,2,2,2000
1322500,3.3,2,1,0,1890
1562500,3.3,2,1,0,1890
2000000,3.3,3,2,1,1900
1900000,3.3,3,1,0,1900
3010000,3.3,3,2,0,1890
2800000,3.3,4,3,1,1910
2100000,3.3,2,1,1,1900
2000000,3.3,3,1,1,1890
442500,3.3,1,1,0,1970
4735000,3.3,4,2,1,1910
2140000,3.3,3,2,1,1880
980000,3.3,2,1,0,1890
1740000,3.3,3,2,2,1890
985000,3.3,1,1,0,1900
2000000,6.4,3,2,4,1930
