,0
0,brilliant
1,johnkasich
2,tedcruzgopdebates
3,strongly
4,uniform
5,competing
6,emerged
7,carson
8,glad
9,reprojustice
10,chew
11,faves
12,mate
13,grow
14,case
15,suspect
16,roadto
17,declares
18,bold
19,smaest
20,gopde
21,interesting
22,slam
23,slob
24,spanked
25,remark
26,waking
27,points
28,shines
29,studentsforrubio
30,delivered
31,fun
32,loyalty
33,spite
34,score
35,gaymarriage
36,giving
37,dominates
38,exposed
39,untill
40,rightly
41,awesome
42,hostages
43,buffoon
44,russias
45,immigrant
46,experience
47,headed
48,leader
49,cabinet
50,hands
51,team
52,loving
53,leads
54,cruztovictory
55,thinking
56,pumped
57,winner
58,favs
59,expectations
60,kasich
61,strong
62,won
63,prediction
64,retweet
65,table
66,fantastic
67,hero
68,rubio
69,love
70,enjoyed
71,carlyfiorina
72,yay
73,held
74,excited
75,nails
76,votes
77,shooter
78,ticket
79,donation
80,contrast
81,seriouslygopdebate
82,amazed
83,express
84,agree
85,carsons
86,tough
87,excellent
88,trumpforpresident
89,best
90,rocked
91,impressive
92,imo
93,thanks
94,truth
95,great
96,fan
97,swag
98,imwithhuck
99,loved
